case,s-corona,r-corona,r,s,3 discs density,density,type,minpoly r,minpoly s,1-discs,r-discs,s-discs,111,11r,11s,1rr,1rs,1ss,rrr,rrs,rss,sss,minpoly density
112,1r1ss,11rr1s,0.835556,0.510373,0.910029,0.910029,H,81*r^24 - 4536*r^23 + 69732*r^22 - 157320*r^21 - 2092814*r^20 - 3039720*r^19 + 36564404*r^18 + 108351656*r^17 - 361068273*r^16 - 742326704*r^15 + 1605938504*r^14 + 1610514224*r^13 - 2124241156*r^12 - 2361074768*r^11 + 372189192*r^10 + 1129648592*r^9 + 356589951*r^8 - 35625496*r^7 - 27301036*r^6 + 148696*r^5 + 746802*r^4 - 35912*r^3 - 1724*r^2 + 8*r + 1,81*s^24 - 5184*s^23 + 119628*s^22 - 1343088*s^21 + 8541946*s^20 - 33816224*s^19 + 132256588*s^18 - 708904432*s^17 + 3455683911*s^16 - 12297978624*s^15 + 25889397592*s^14 - 29803371744*s^13 + 11956776780*s^12 + 6318624064*s^11 - 4980911304*s^10 - 850223968*s^9 + 645916399*s^8 + 152411712*s^7 + 10943964*s^6 - 21697200*s^5 - 7902630*s^4 + 920160*s^3 + 378108*s^2 - 34992*s + 729,3,3,3,1,3,0,3,6,3,1,0,0,1,14068939428462592*x^24 + 3378469694682955776*x^23 + 238928438970411909120*x^22 - 1331726579213839368192*x^21 - 919998587410713516441600*x^20 - 39892674357047857061560320*x^19 - 189863455032387477916876800*x^18 + 32256170375316368174541176832*x^17 + 1005002604676096151658132602880*x^16 + 10977627731703895824952087019520*x^15 + 7133165025512138479069333291008*x^14 - 474987309181938508124856856412160*x^13 - 334156007349320110159670401462272*x^12 - 8319736587726678897266618821312512*x^11 + 90618475148988680522354593726817280*x^10 - 340941767557310116404100642476122112*x^9 + 663727816628974637660692422768086784*x^8 - 955266061399201595588754502069853184*x^7 + 1001727983585488005878119226027324928*x^6 - 842306911333722153466796351869996032*x^5 + 709435237247449878938728065679821024*x^4 - 608734372772482211345316257636114688*x^3 + 402967952957752335526339947523153572*x^2 - 160834719973014803800923389852697504*x + 23838580811134090632023947811732481
113,1r1ss,11s1s,0.463264,0.399158,0.91794,0.91794,H,1917*r^10 + 17298*r^9 + 25341*r^8 - 66120*r^7 - 4806*r^6 - 5172*r^5 + 7330*r^4 + 760*r^3 - 87*r^2 - 14*r + 1,9*s^10 - 210*s^9 + 1381*s^8 - 2584*s^7 - 2670*s^6 + 6260*s^5 + 7570*s^4 + 936*s^3 - 1179*s^2 - 306*s + 9,3,3,6,1,3,0,0,12,6,0,0,0,2,45369*x^10 + 11278404*x^9 + 129975960*x^8 - 101913220464*x^7 - 4317073269680*x^6 + 36754442817408*x^5 - 157756278422400*x^4 + 504657247650048*x^3 - 597435566211072*x^2 + 300918053541888*x - 48433889958912
114,1r1ss,1rrr1s,0.775589,0.496007,0.911071,0.911071,H,81*r^8 - 216*r^7 + 264*r^5 + 526*r^4 - 232*r^3 - 208*r^2 - 8*r + 1,s^8 - 40*s^6 - 208*s^5 - 74*s^4 - 160*s^3 - 8*s^2 + 48*s + 9,3,7,6,0,0,0,6,12,6,6,0,0,2,206930370816*x^8 + 26041209882624*x^7 - 13130989864704*x^6 + 8645340501504*x^5 + 3232183001184*x^4 - 34226750943360*x^3 + 11858388840336*x^2 - 11859945999456*x + 3239603050273
115,1r1ss,1s1s1s,0.656547,0.464102,0.915322,0.915322,H,r^4 - 4*r^3 + 10*r^2 + 36*r - 27,s^2 + 6*s - 3,1,1,3,0,0,0,0,6,3,0,0,0,1,104976*x^4 - 139968*x^3 + 219564*x^2 - 721008*x + 194137
116,1rr1s,111srs,0.787963,0.561911,0.909855,0.909855,H,r^8 + 4*r^7 - 20*r^5 - 22*r^4 + 12*r^3 + 16*r^2 - 4*r + 1,s^8 - 4*s^7 - 16*s^6 - 352*s^5 - 136*s^4 - 368*s^3 - 256*s^2 + 64*s + 144,2,2,2,0,4,0,0,4,2,0,2,0,0,56064*x^8 + 137216*x^7 - 885504*x^6 + 84736*x^5 + 696352*x^4 + 1274112*x^3 + 420944*x^2 + 17136*x - 75797
117,1rr1s,11srrs,0.72378,0.536428,0.909801,0.909801,H,9*r^8 - 672*r^7 + 12244*r^6 - 14288*r^5 - 55922*r^4 - 960*r^3 + 31428*r^2 + 432*r + 81,81*s^8 - 2520*s^7 + 21964*s^6 - 48072*s^5 + 35478*s^4 - 10152*s^3 - 32724*s^2 + 5832*s + 6561,7,6,6,6,6,0,0,12,6,2,6,0,0,34971232667904*x^8 + 131412349624320*x^7 - 209595658627037952*x^6 - 3553624844930893824*x^5 - 20801002474282541472*x^4 - 53156277619769498112*x^3 - 44053511782247057712*x^2 - 3825474091168189824*x + 6247229327940095833
118,1rr1s,11srs,0.373318,0.364082,0.922361,0.922361,L,8*r^3 + 15*r^2 + 4*r - 4,4*s^3 + 4*s^2 + 9*s - 4,1,2,2,0,2,0,0,4,2,0,2,0,0,32768*x^3 - 31488*x^2 + 12064*x - 1657
119,1rr1s,1rrrrs,0.719224,0.534565,0.91123,0.91123,L,2*r^2 - 7*r + 4,2*s^2 - 31*s + 16,1,2,2,0,0,0,2,4,2,0,2,0,0,2048*x^2 + 16096*x - 4841
120,1rr1s,1srrrs,0.601778,0.483738,0.912515,0.912515,H,9*r^4 - 84*r^3 - 2*r^2 + 28*r + 1,s^4 - 104*s^3 - 38*s^2 + 24*s + 9,2,7,6,0,0,0,0,12,6,6,6,0,0,2834352*x^4 + 75722688*x^3 - 320641128*x^2 - 490687248*x + 167702459
121,1rrr,11srsrs,0.689842,0.311445,0.917176,0.917176,L,64*r^6 - 32*r^5 - 32*r^4 + 16*r^3 + r^2 - 2*r + 1,16*s^6 + 48*s^5 + 48*s^4 + 24*s^3 + 3*s^2 - 2*s - 1,1,2,2,0,2,0,0,4,0,0,4,0,0,770048*x^6 + 958464*x^5 + 115200*x^4 + 51328*x^3 - 41764*x^2 + 46464*x - 14629
